epoch,accuracy,loss
0,0.9997777938842773,0.10635294020175934
1,1.0,0.013767605647444725
2,1.0,0.007581254001706839
3,1.0,0.005196577403694391
4,1.0,0.0039361389353871346
5,1.0,0.003158997045829892
6,1.0,0.002633135998621583
7,1.0,0.0022543182130903006
8,1.0,0.001968814292922616
9,1.0,0.0017461557872593403
10,1.0,0.0015678000636398792
11,1.0,0.0014218251453712583
12,1.0,0.0013002107152715325
13,1.0,0.0011973791988566518
14,1.0,0.001109326840378344
15,1.0,0.0010331065859645605
16,1.0,0.0009665086399763823
17,1.0,0.0009078332222998142
18,1.0,0.0008557596593163908
19,1.0,0.0008092397474683821
