epoch,accuracy,loss
0,0.9342222213745117,0.29482054710388184
1,1.0,0.021692758426070213
2,1.0,0.010585581883788109
3,1.0,0.006912116892635822
4,1.0,0.0050940122455358505
5,1.0,0.004015251994132996
6,1.0,0.003303840523585677
7,1.0,0.0028008369263261557
8,1.0,0.002427124185487628
9,1.0,0.002138974377885461
10,1.0,0.0019102938240393996
11,1.0,0.0017245740164071321
12,1.0,0.0015708719147369266
13,1.0,0.0014416499761864543
14,1.0,0.0013315528631210327
15,1.0,0.001236671581864357
16,1.0,0.0011540899286046624
17,1.0,0.0010815851856023073
18,1.0,0.0010174453491345048
19,1.0,0.0009603123180568218
