epoch,accuracy,loss
0,0.9986666440963745,0.12938308715820312
1,1.0,0.015348895452916622
2,1.0,0.008299266919493675
3,1.0,0.005646429490298033
4,1.0,0.004259237553924322
5,1.0,0.003409294644370675
6,1.0,0.002836571540683508
7,1.0,0.0024252254515886307
8,1.0,0.0021159150637686253
9,1.0,0.0018751203315332532
10,1.0,0.0016825132770463824
11,1.0,0.0015250497963279486
12,1.0,0.0013939948985353112
13,1.0,0.0012832703068852425
14,1.0,0.0011885284911841154
15,1.0,0.0011065658181905746
16,1.0,0.0010349837830290198
17,1.0,0.0009719482040964067
18,1.0,0.0009160283370874822
19,1.0,0.0008660946623422205
