epoch,accuracy,loss
0,1.0,0.17041021585464478
1,1.0,0.016410833224654198
2,1.0,0.008573224768042564
3,1.0,0.005756882019340992
4,1.0,0.004312041215598583
5,1.0,0.0034362904261797667
6,1.0,0.0028502969071269035
7,1.0,0.0024314988404512405
8,1.0,0.0021177357994019985
9,1.0,0.0018741689855232835
10,1.0,0.0016797847347334027
11,1.0,0.0015211664140224457
12,1.0,0.0013893565628677607
13,1.0,0.0012781420955434442
14,1.0,0.0011830839794129133
15,1.0,0.00110092933755368
16,1.0,0.0010292429942637682
17,1.0,0.0009661620715633035
18,1.0,0.0009102369076572359
19,1.0,0.0008603282039985061
