epoch,accuracy,loss
0,0.9466666579246521,0.22099308669567108
1,1.0,0.01767410710453987
2,1.0,0.008990790694952011
3,1.0,0.005974383559077978
4,1.0,0.0044485898688435555
5,1.0,0.0035313076805323362
6,1.0,0.0029208925552666187
7,1.0,0.0024863772559911013
8,1.0,0.002161836950108409
9,1.0,0.0019105118699371815
10,1.0,0.0017103464342653751
11,1.0,0.0015472871018573642
12,1.0,0.0014119792031124234
13,1.0,0.001297956914640963
14,1.0,0.0012006069300696254
15,1.0,0.0011165549512952566
16,1.0,0.0010432780254632235
17,1.0,0.0009788459865376353
18,1.0,0.0009217675542458892
19,1.0,0.0008708657114766538
