epoch,accuracy,loss
0,1.0,0.12060464173555374
1,1.0,0.015509573742747307
2,1.0,0.008377325721085072
3,1.0,0.00568997161462903
4,1.0,0.0042855641804635525
5,1.0,0.003425837494432926
6,1.0,0.0028470514807850122
7,1.0,0.0024317249190062284
8,1.0,0.0021196650341153145
9,1.0,0.0018769139423966408
10,1.0,0.0016828710213303566
11,1.0,0.0015243364032357931
12,1.0,0.001392476842738688
13,1.0,0.0012811293127015233
14,1.0,0.0011859037913382053
15,1.0,0.0011035652132704854
16,1.0,0.0010316896950826049
17,1.0,0.0009684243705123663
18,1.0,0.0009123244672082365
19,1.0,0.0008622454479336739
