epoch,accuracy,loss
0,0.9997777938842773,0.19237470626831055
1,1.0,0.018767910078167915
2,1.0,0.009573408402502537
3,1.0,0.006348003167659044
4,1.0,0.004715324379503727
5,1.0,0.003734647063538432
6,1.0,0.003082897514104843
7,1.0,0.0026196136604994535
8,1.0,0.002274062018841505
9,1.0,0.0020068229641765356
10,1.0,0.0017942428821697831
11,1.0,0.0016212672926485538
12,1.0,0.0014778886688873172
13,1.0,0.0013571862364187837
14,1.0,0.0012542286422103643
15,1.0,0.0011654156260192394
16,1.0,0.0010880521731451154
17,1.0,0.0010200821561738849
18,1.0,0.0009599114418961108
19,1.0,0.0009062830358743668
