epoch,accuracy,loss
0,1.0,0.11559494584798813
1,1.0,0.014146455563604832
2,1.0,0.007694417145103216
3,1.0,0.00524952681735158
4,1.0,0.003966660238802433
5,1.0,0.0031789327040314674
6,1.0,0.0026473207399249077
7,1.0,0.002265059854835272
8,1.0,0.0019773466046899557
9,1.0,0.0017531956546008587
10,1.0,0.0015737833455204964
11,1.0,0.0014270301908254623
12,1.0,0.0013048332184553146
13,1.0,0.001201548264361918
14,1.0,0.0011131392093375325
15,1.0,0.00103663036134094
16,1.0,0.000969793414697051
17,1.0,0.0009109214297495782
18,1.0,0.0008586792973801494
19,1.0,0.0008120183483697474
