epoch,accuracy,loss
0,0.9464444518089294,0.20960019528865814
1,1.0,0.018024900928139687
2,1.0,0.009306997992098331
3,1.0,0.006214072462171316
4,1.0,0.004637605044990778
5,1.0,0.003686095355078578
6,1.0,0.003051384584978223
7,1.0,0.002598856808617711
8,1.0,0.00226047495380044
9,1.0,0.0019982161466032267
10,1.0,0.0017892036121338606
11,1.0,0.0016188501613214612
12,1.0,0.0014774332521483302
13,1.0,0.00135822466108948
14,1.0,0.0012564226053655148
15,1.0,0.0011685052886605263
16,1.0,0.0010918432381004095
17,1.0,0.0010244218865409493
18,1.0,0.0009646889520809054
19,1.0,0.0009114090353250504
