epoch,accuracy,loss
0,0.9464444518089294,0.23820044100284576
1,1.0,0.01796094886958599
2,1.0,0.009148145094513893
3,1.0,0.006086551584303379
4,1.0,0.004536740016192198
5,1.0,0.0036041971761733294
6,1.0,0.0029831465799361467
7,1.0,0.002540778601542115
8,1.0,0.0022101900540292263
9,1.0,0.001954061910510063
10,1.0,0.0017499716486781836
11,1.0,0.0015836465172469616
12,1.0,0.001445583300665021
13,1.0,0.0013292006915435195
14,1.0,0.0012298072688281536
15,1.0,0.0011439649388194084
16,1.0,0.00106910802423954
17,1.0,0.001003272132948041
18,1.0,0.0009449367644265294
19,1.0,0.0008928986499086022
